"STATION","NAME","DATE","ACMH","ACSH","AWND","DAPR","FMTM","FRGT","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT16","WT18"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-15",,,,,,,,,"0.00","0.0","0.0",,"54","37",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-16",,,,,,,,,"0.00","0.0","0.0",,"56","35",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-17",,,,,,,,,"0.00","0.0","0.0",,"54","34",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-18",,,,,,,,,"0.00","0.0","0.0",,"51","40",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-19",,,,,,,,,"0.00","0.0","0.0",,"52","41",,,,,,,,,,"    1",,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-20",,,,,,,,,"0.00","0.0","0.0",,"58","47",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-21",,,,,,,,,"0.11","0.0","0.0",,"54","51",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-22",,,,,,,,,"0.00","0.0","0.0",,"61","49",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-23",,,,,,,,,"0.00","0.0","0.0",,"60","45",,,,,,,,,,"    1",,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-24",,,,,,,,,"0.35","0.0","0.0",,"60","47",,,,,,,,,,"    1",,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-25",,,,,,,,,"0.58","0.0","0.0",,"60","51",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-26",,,,,,,,,"0.04","0.0","0.0",,"58","50",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-27",,,,,,,,,"0.00","0.0","0.0",,"60","47",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-28",,,,,,,,,"0.00","0.0","0.0",,"62","47",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-29",,,,,,,,,"0.00","0.0","0.0",,"63","44",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-30",,,,,,,,,"0.00","0.0","0.0",,"61","49",,,,,,,,,,"    1",,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-01-31",,,,,,,,,"0.00","0.0","0.0",,"59","46",,,,,,,,,,"    1",,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-01",,,,,,,,,"0.81","0.0","0.0",,"62","51",,,,,,,,,,"    1",,,,"    1",,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-02",,,,,,,,,"0.00","0.0","0.0",,"59","43",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-03",,,,,,,,,"0.20","0.0","0.0",,"59","47",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-04",,,,,,,,,"0.16","0.0","0.0",,"60","42",,,,,,,,,,"    1",,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-05",,,,,,,,,"0.67","0.0","0.0",,"60","53",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-06",,,,,,,,,"0.00","0.0","0.0",,"63","54",,,,,,,,,,"    1",,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-07",,,,,,,,,"0.06","0.0","0.0",,"62","55",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-08",,,,,,,,,"0.51","0.0","0.0",,"60","50",,,,,,,,,,"    1",,"    1",,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-09",,,,,,,,,"0.36","0.0","0.0",,"55","48",,,,,,,,,,,,"    1",,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-10",,,,,,,,,"0.07","0.0","0.0",,"60","44",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-11",,,,,,,,,"0.00","0.0","0.0",,"61","40",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-12",,,,,,,,,"0.00","0.0","0.0",,"61","42",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-13",,,,,,,,,"0.02","0.0","0.0",,"60","45",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-14",,,,,,,,,"0.00","0.0","0.0",,"62","39",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-15",,,,,,,,,"0.00","0.0","0.0",,"61","42",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-16",,,,,,,,,"0.00","0.0","0.0",,"64","42",,,,,,,,,,"    1",,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-17",,,,,,,,,"0.00","0.0","0.0",,"62","38",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-18",,,,,,,,,"0.13","0.0","0.0",,"55","42",,,,,,,,,,,,,,"    1",,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-19",,,,,,,,,"0.00","0.0","0.0",,"60","40",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-20",,,,,,,,,"0.00","0.0","0.0",,"65","42",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-21",,,,,,,,,"0.00","0.0","0.0",,"59","39",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-22",,,,,,,,,"0.00","0.0","0.0",,"61","37",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-23",,,,,,,,,"0.00","0.0","0.0",,"63","39",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-24",,,,,,,,,"0.00","0.0","0.0",,"61","36",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-25",,,,,,,,,"0.00","0.0","0.0",,"56","45",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-26",,,,,,,,,"0.00","0.0","0.0",,"57","45",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-27",,,,,,,,,"0.00","0.0","0.0",,"56","39",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-28",,,,,,,,,"0.00","0.0","0.0",,"57","45",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-02-29",,,,,,,,,"0.00","0.0","0.0",,"60","43",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-01",,,,,,,,,"0.00","0.0","0.0",,"55","43",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-02",,,,,,,,,"0.00","0.0","0.0",,"58","40",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-03",,,,,,,,,"0.00","0.0","0.0",,"62","47",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-04",,,,,,,,,"0.00","0.0","0.0",,"62","52",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-05",,,,,,,,,"0.13","0.0","0.0",,"58","54",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-06",,,,,,,,,"0.19","0.0","0.0",,"59","52",,,,,,,,,,"    1",,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-07",,,,,,,,,"0.11","0.0","0.0",,"61","50",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-08",,,,,,,,,"0.00","0.0","0.0",,"61","43",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-09",,,,,,,,,"0.00","0.0","0.0",,"60","44",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-10",,,,,,,,,"0.00","0.0","0.0",,"62","38",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-11",,,,,,,,,"0.13","0.0","0.0",,"60","49",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-12",,,,,,,,,"0.30","0.0","0.0",,"59","52",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-13",,,,,,,,,"0.04","0.0","0.0",,"62","48",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-14",,,,,,,,,"0.00","0.0","0.0",,"69","44",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-15",,,,,,,,,"0.00","0.0","0.0",,"63","44",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-16",,,,,,,,,"0.00","0.0","0.0",,"76","51",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-17",,,,,,,,,"0.00","0.0","0.0",,"77","55",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-18",,,,,,,,,"0.00","0.0","0.0",,"79","49",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-19",,,,,,,,,"0.00","0.0","0.0",,"77","51",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-20",,,,,,,,,"0.00","0.0","0.0",,"73","50",,,,,,,,,,"    1",,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-21",,,,,,,,,"0.00","0.0","0.0",,"62","51",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-22",,,,,,,,,"0.00","0.0","0.0",,"60","51",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-23",,,,,,,,,"0.00","0.0","0.0",,"54","51",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-24",,,,,,,,,"0.00","0.0","0.0",,"56","51",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-25",,,,,,,,,"0.00","0.0","0.0",,"58","52",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-26",,,,,,,,,"0.05","0.0","0.0",,"63","51",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-27",,,,,,,,,"0.16","0.0","0.0",,"64","51",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-28",,,,,,,,,"0.00","0.0","0.0",,"61","46",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-29",,,,,,,,,"0.00","0.0","0.0",,"65","43",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-30",,,,,,,,,"0.13","0.0","0.0",,"61","50",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-03-31",,,,,,,,,"0.00","0.0","0.0",,"61","41",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-01",,,,,,,,,"0.00","0.0","0.0",,"69","52",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-02",,,,,,,,,"0.00","0.0","0.0",,"78","48",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-03",,,,,,,,,"0.00","0.0","0.0",,"81","53",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-04",,,,,,,,,"0.00","0.0","0.0",,"83","51",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-05",,,,,,,,,"0.00","0.0","0.0",,"76","53",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-06",,,,,,,,,"0.02","0.0","0.0",,"77","51",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-07",,,,,,,,,"0.00","0.0","0.0",,"68","51",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-08",,,,,,,,,"0.00","0.0","0.0",,"65","54",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-09",,,,,,,,,"0.00","0.0","0.0",,"62","48",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-10",,,,,,,,,"0.00","0.0","0.0",,"60","49",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-11",,,,,,,,,"0.09","0.0","0.0",,"63","51",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-12",,,,,,,,,"0.00","0.0","0.0",,"63","44",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-13",,,,,,,,,"0.00","0.0","0.0",,"63","49",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-14",,,,,,,,,"0.00","0.0","0.0",,"64","51",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-15",,,,,,,,,"0.00","0.0","0.0",,"64","48",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-16",,,,,,,,,"0.00","0.0","0.0",,"69","41",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-17",,,,,,,,,"0.00","0.0","0.0",,"63","44",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-18",,,,,,,,,"0.00","0.0","0.0",,"66","50",,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-19",,,,,,,,,"0.00","0.0","0.0",,"67","50",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-20",,,,,,,,,"0.00","0.0","0.0",,"67","47",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-21",,,,,,,,,"0.00","0.0","0.0",,"62","47",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-22",,,,,,,,,"0.00","0.0","0.0",,"57","41",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-23",,,,,,,,,"0.00","0.0","0.0",,"58","43",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-24",,,,,,,,,"0.00","0.0","0.0",,"61","40",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-25",,,,,,,,,"0.00","0.0","0.0",,"64","48",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-26",,,,,,,,,"0.40","0.0","0.0",,"59","45",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-27",,,,,,,,,"0.19","0.0","0.0",,"60","48",,,,,,,,,,,,"    1",,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-28",,,,,,,,,"0.00","0.0","0.0",,"61","47",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-29",,,,,,,,,"0.00","0.0","0.0",,"64","44",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-04-30",,,,,,,,,"0.00","0.0","0.0",,"62","51",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-01",,,,,,,,,"0.00","0.0","0.0",,"66","47",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-02",,,,,,,,,"0.00","0.0","0.0",,"59","51",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-03",,,,,,,,,"0.17","0.0","0.0",,"59","49",,,,,,,,,,"    1",,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-04",,,,,,,,,"0.00","0.0","0.0",,"65","49",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-05",,,,,,,,,"0.00","0.0","0.0",,"68","45",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-06",,,,,,,,,"0.00","0.0","0.0",,"73","48",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-07",,,,,,,,,"0.00","0.0","0.0",,"71","52",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-08",,,,,,,,,"0.00","0.0","0.0",,"64","53",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-09",,,,,,,,,"0.00","0.0","0.0",,"73","46",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-10",,,,,,,,,"0.00","0.0","0.0",,"77","52",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-11",,,,,,,,,"0.00","0.0","0.0",,"70","54",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-12",,,,,,,,,"0.00","0.0","0.0",,"67","54",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-13",,,,,,,,,"0.00","0.0","0.0",,"69","50",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-14",,,,,,,,,"0.00","0.0","0.0",,"65","51",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-15",,,,,,,,,"0.00","0.0","0.0",,"63","52",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-16",,,,,,,,,"0.00","0.0","0.0",,"67","50",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-17",,,,,,,,,"0.00","0.0","0.0",,"68","47",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-18",,,,,,,,,"0.00","0.0","0.0",,"71","52",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-19",,,,,,,,,"0.00","0.0","0.0",,"80","47",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-20",,,,,,,,,"0.00","0.0","0.0",,"64","52",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-21",,,,,,,,,"0.00","0.0","0.0",,"62","46",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-22",,,,,,,,,"0.00","0.0","0.0",,"62","44",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-23",,,,,,,,,"0.10","0.0","0.0",,"59","51",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-24",,,,,,,,,"0.36","0.0","0.0",,"64","51",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-25",,,,,,,,,"0.00","0.0","0.0",,"71","55",,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-26",,,,,,,,,"0.00","0.0","0.0",,"73","51",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-27",,,,,,,,,"0.00","0.0","0.0",,"74","55",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-28",,,,,,,,,"0.00","0.0","0.0",,"65","51",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-29",,,,,,,,,"0.00","0.0","0.0",,"61","53",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-30",,,,,,,,,"0.00","0.0","0.0",,"76","51",,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-05-31",,,,,,,,,"0.00","0.0","0.0",,"77","52",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-06-01",,,,,,,,,"0.00","0.0","0.0",,"90","57",,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1960-06-02",,,,,,,,,"0.00","0.0","0.0",,"107","60",,,,,,,,,,,,,,,,,,,
