"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22","WV01"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-13","   40","   40",,,,"0.00","0.0","1.0",,"34","25",,"  290",,,,,,"23.0",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-14","   10","    0",,,,"0.00","0.0","0.0",,"26","16",,"  300",,,,,,"29.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-15","   10","   10",,,,"0.00","0.0","0.0",,"29","13",,"  300",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-16","   40","   20",,,,"0.00","0.0","0.0",,"36","21",,"  250",,,,,,"15.0",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-17","   90","   90",,,,"0.02","0.0","0.0",,"43","30",,"  250",,,,,,"14.1",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-18","   80","   90",,,,"0.10","0.0","0.0",,"42","25",,"  330",,,,,,"21.0",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-19","   20","   40",,,,"0.00","0.0","0.0",,"25","16",,"   10",,,,,,"17.0",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-20","   80","   80",,,,"0.04","1.4","0.0",,"24","15",,"   30",,,,,,"17.0",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-21","   50","   50",,,,"0.06","0.9","2.0",,"24","9",,"  310",,,,,,"29.1",,,,,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-22","   10","   10",,,,"0.00","0.0","2.0",,"21","8",,"  300",,,,,,"25.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-23","   70","   90",,,,"0.00","0.0","1.0",,"29","13",,"  320",,,,,,"17.9",,,,,,,,,,,,"    1",,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-24","   30","   10",,,,"0.00","0.0","1.0",,"28","18",,"  320",,,,,,"17.9",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-25","  100","  100",,,,"0.00","0.1","1.0",,"36","24",,"  210",,,,,,"14.1",,,,,,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-26","   90","   80",,,,"0.02","0.0","0.0",,"48","34",,"  340",,,,,,"19.9",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-27","   70","   50",,,,"0.00","0.0","0.0",,"36","28",,"  340",,,,,,"19.9",,,,,,,,,,,,"    1",,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-28","   90","   80",,,,"0.00","0.0","0.0",,"40","31",,"  160",,,,,,"13.0",,,,,"    1",,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-29","  100","  100",,,,"0.00","0.0","0.0",,"49","40",,"  190",,,,,,"15.0",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-30","   50","   60",,,,"0.00","0.0","0.0",,"47","24",,"  320",,,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-01-31","   10","    0",,,,"0.00","0.0","0.0",,"36","22",,"  320",,,,,,"21.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-01","   30","   50",,,,"0.00","0.0","0.0",,"48","34",,"  260",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-02","   90","  100",,,,"0.11","0.0","0.0",,"49","36",,"  160",,,,,,"32.0",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-03","  100","  100",,,,"1.12","0.4","0.0",,"50","24",,"  310",,,,,,"21.9",,,,,"    1","    1",,"    1",,"    1",,,,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-04","   20","    0",,,,"0.14","0.6","1.0",,"24","13",,"  310",,,,,,"31.1",,,,,"    1",,,,,"    1",,,"    1",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-05","   80","   90",,,,"0.00","0.0","1.0",,"36","14",,"  160",,,,,,"16.1",,,,,,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-06","  100","  100",,,,"0.00","0.0","0.0",,"37","32",,"  220",,,,,,"8.1",,,,,,,,,,,,"    1",,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-07","   30","    0",,,,"0.00","0.0","0.0",,"42","30",,"   30",,,,,,"8.9",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-08","   70","   80",,,,"0.00","0.0","0.0",,"39","29",,"  280",,,,,,"6.9",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-09","  100","  100",,,,"0.00","0.0","0.0",,"41","33",,"   70",,,,,,"15.0",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-10","  100","  100",,,,"1.51","0.0","0.0",,"46","37",,"  100",,,,,,"40.9",,,,,"    1","    1",,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-11","  100","   90",,,,"0.00","0.0","0.0",,"45","36",,"  270",,,,,,"30.0",,,,,"    1","    1",,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-12","   40","   30",,,,"0.00","0.0","0.0",,"37","30",,"  270",,,,,,"30.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-13","   50","   50",,,,"0.00","0.0","0.0",,"32","22",,"  290",,,,,,"23.9",,,,,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-14","   70","   90",,,,"0.11","1.6","0.0",,"24","17",,"   60",,,,,,"15.0",,,,,,,,,,,,"    1",,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-15","  100","  100",,,,"0.34","2.7","3.0",,"35","24",,"  270",,,,,,"17.9",,,,,"    1",,,"    1",,"    1",,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-16","   90","   80",,,,"0.00","0.0","2.0",,"35","29",,"  330",,,,,,"21.0",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-17","   80","   80",,,,"0.00","0.0","0.0",,"39","27",,"   30",,,,,,"15.0",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-18","   60","   50",,,,"0.00","0.0","0.0",,"41","29",,"  200",,,,,,"21.9",,,,,"    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-19","   50","   60",,,,"0.00","0.0","0.0",,"48","27",,"  320",,,,,,"23.9",,,,,"    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-20","   10","   30",,,,"0.00","0.0","0.0",,"34","21",,"  300",,,,,,"23.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-21","   30","   40",,,,"0.00","0.0","0.0",,"34","22",,"  270",,,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-22","   40","   10",,,,"0.00","0.0","0.0",,"54","31",,"  310",,,,,,"31.1",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-23","   10","   10",,,,"0.00","0.0","0.0",,"44","29",,"  310",,,,,,"30.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-24","   20","   40",,,,"0.00","0.0","0.0",,"52","27",,"  240",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-25","   70","   60",,,,"0.00","0.0","0.0",,"54","20",,"  330",,,,,,"30.0",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-26","    0","    0",,,,"0.00","0.0","0.0",,"25","13",,"  340",,,,,,"23.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-27","   70","   80",,,,"0.00","0.0","0.0",,"39","24",,"  170",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-02-28","   20","   20",,,,"0.00","0.0","0.0",,"40","30",,"  330",,,,,,"23.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-01","   40","   20",,,,"0.00","0.0","0.0",,"36","25",,"  180",,,,,,"16.1",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-02","  100","  100",,,,"0.00","0.0","0.0",,"45","33",,"   50",,,,,,"17.0",,,,,,,,,,,,"    1",,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-03","   90","   70",,,,"0.00","0.0","0.0",,"42","32",,"   50",,,,,,"14.1",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-04","  100","  100",,,,"0.44","0.0","0.0",,"37","35",,"  120",,,,,,"17.0",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-05","   90","   90",,,,"0.01","0.0","0.0",,"50","35",,"  360",,,,,,"17.9",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-06","   90","  100",,,,"0.00","0.0","0.0",,"41","34",,"  360",,,,,,"21.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-07","   60","   60",,,,"0.00","0.0","0.0",,"45","30",,"  280",,,,,,"19.9",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-08","   20","   10",,,,"0.00","0.0","0.0",,"40","25",,"  300",,,,,,"23.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-09","    0","    0",,,,"0.00","0.0","0.0",,"38","22",,"  340",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-10","   10","   30",,,,"0.00","0.0","0.0",,"39","22",,"  290",,,,,,"28.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-11","   10","    0",,,,"0.00","0.0","0.0",,"44","27",,"  290",,,,,,"23.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-12","   80","  100",,,,"0.38","0.0","0.0",,"38","33",,"  280",,,,,,"16.1",,,,,"    1",,,"    1",,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-13","  100","  100",,,,"0.06","0.0","0.0",,"39","34",,"  320",,,,,,"16.1",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-14","   70","   70",,,,"0.00","0.0","0.0",,"41","30",,"  280",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-15","   50","   50",,,,"0.00","0.0","0.0",,"38","28",,"  270",,,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-16","   30","   50",,,,"0.00","0.0","0.0",,"36","26",,"  300",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-17","   40","   40",,,,"0.00","0.0","0.0",,"42","28",,"  240",,,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-18","  100","  100",,,,"0.46","0.0","0.0",,"40","33",,"   70",,,,,,"14.1",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-19","   70","   80",,,,"0.01","0.0","0.0",,"50","34",,"  360",,,,,,"15.0",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-20","   80","  100",,,,"0.45","0.0","0.0",,"43","33",,"  100",,,,,,"17.0",,,,,"    1",,,"    1",,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-21","   80","   70",,,,"0.01","0.0","0.0",,"51","37",,"  300",,,,,,"29.1",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-22","  100","  100",,,,"0.37","0.0","0.0",,"43","36",,"   80",,,,,,"36.0",,,,,"    1",,,"    1",,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-23","   70","   80",,,,"0.02","0.0","0.0",,"47","39",,"  270",,,,,,"23.9",,,,,"    1",,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-24","   40","   60",,,,"0.00","0.0","0.0",,"51","37",,"  290",,,,,,"29.1",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-25","   50","   60",,,,"0.00","0.0","0.0",,"53","37",,"  280",,,,,,"21.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-26","   90","   90",,,,"0.55","0.0","0.0",,"54","42",,"  210",,,,,,"30.0",,,,,"    1",,"    1",,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-27","   20","   30",,,,"0.05","0.0","0.0",,"54","40",,"  280",,,,,,"28.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-28","   50","   70",,,,"0.00","0.0","0.0",,"48","36",,"  180",,,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-29","   90","  100",,,,"1.04","1.6","0.0",,"46","27",,"   10",,,,,,"25.1",,,,,"    1",,,"    1",,,,"    1","    1",,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-30","   60","   50",,,,"0.00","0.0","1.0",,"35","22",,"  350",,,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-03-31","   70","  100",,,,"0.18","0.8","0.0",,"37","32",,"  360",,,,,,"21.0",,,,,"    1",,,"    1",,,,"    1",,,,,,"    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-01","   70","   70",,,,"0.01","0.0","0.0",,"43","31",,"  150",,,,,,"14.1",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-02","   90","  100",,,,"1.35","0.0","0.0",,"54","37",,"  260",,,,,,"44.1",,,,,"    1","    1","    1",,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-03","   30","   20",,,,"0.00","0.0","0.0",,"52","41",,"  280",,,,,,"40.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-04","   60","   70",,,,"0.00","0.0","0.0",,"54","41",,"  290",,,,,,"21.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-05","   10","   10",,,,"0.00","0.0","0.0",,"49","38",,"  320",,,,,,"23.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-06","   70","   80",,,,"0.02","0.0","0.0",,"45","32",,"  120",,,,,,"16.1",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-07","   50","   40",,,,"0.00","0.0","0.0",,"56","36",,"  330",,,,,,"21.0",,,,,"    1",,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-08","   30","   20",,,,"0.00","0.0","0.0",,"65","40",,"  230",,,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-09","   60","   80",,,,"0.01","0.0","0.0",,"70","46",,"  290",,,,,,"36.0",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-10","   30","   50",,,,"0.00","0.0","0.0",,"56","37",,"  310",,,,,,"25.9",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-11","   10","   10",,,,"0.00","0.0","0.0",,"50","33",,"  290",,,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-12","    0","    0",,,,"0.00","0.0","0.0",,"60","36",,"  340",,,,,,"17.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-13","   10","   10",,,,"0.00","0.0","0.0",,"56","42",,"  180",,,,,,"15.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-14","   80","  100",,,,"0.08","0.0","0.0",,"50","39",,"   70",,,,,,"23.0",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-15","   70","   90",,,,"0.32","0.0","0.0",,"60","44",,"   40",,,,,,"30.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-16","   20","   10",,,,"0.00","0.0","0.0",,"60","44",,"  110",,,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-17","   80","   70",,,,"0.01","0.0","0.0",,"55","43",,"  180",,,,,,"17.9",,,,,"    1",,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-18","   30","   20",,,,"0.00","0.0","0.0",,"63","43",,"  340",,,,,,"23.9",,,,,"    1","    1",,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-19","   60","   70",,,,"0.00","0.0","0.0",,"58","44",,"  360",,,,,,"17.9",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-20","  100","  100",,,,"0.93","0.0","0.0",,"47","41",,"  100",,,,,,"28.0",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-21","   90","  100",,,,"0.00","0.0","0.0",,"48","43",,"   10",,,,,,"16.1",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-22","   60","   50",,,,"0.00","0.0","0.0",,"67","44",,"  310",,,,,,"19.9",,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-23","  100","  100",,,,"0.00","0.0","0.0",,"53","46",,"  100",,,,,,"19.9",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-24","  100","  100",,,,"0.42","0.0","0.0",,"62","44",,"  310",,,,,,"21.0",,,,,"    1","    1","    1",,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-25","   30","   20",,,,"0.00","0.0","0.0",,"72","50",,"  310",,,,,,"23.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-26","   50","   50",,,,"0.00","0.0","0.0",,"72","55",,"  240",,,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-27","   70","   60",,,,"0.00","0.0","0.0",,"66","53",,"  130",,,,,,"14.1",,,,,"    1",,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-28","   90","   90",,,,"0.00","0.0","0.0",,"62","54",,"  190",,,,,,"14.1",,,,,"    1",,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-29","   40","   20",,,,"0.00","0.0","0.0",,"67","48",,"   80",,,,,,"16.1",,,,,"    1",,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-04-30","  100","  100",,,,"0.00","0.0","0.0",,"53","47",,"  160",,,,,,"17.0",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-05-01","   70","   60",,,,"0.00","0.0","0.0",,"63","48",,"  180",,,,,,"21.9",,,,,"    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-05-02","   60","   70",,,,"0.00","0.0","0.0",,"66","53",,"  180",,,,,,"25.9",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-05-03","  100","  100",,,,"0.04","0.0","0.0",,"60","52",,"  350",,,,,,"21.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-05-04","  100","  100",,,,"0.00","0.0","0.0",,"62","51",,"   40",,,,,,"12.1",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-05-05","   20","   10",,,,"0.00","0.0","0.0",,"64","49",,"  180",,,,,,"25.1",,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1970-05-06","   70","   70",,,,"0.00","0.0","0.0",,"57","43",,"  320",,,,,,"29.1",,,,,,,,,,,,,,,,,,"    1",,,,,
