,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,Central Division
8,57,25,.695,—,105.2,98.9,6.19,1993,Chicago Bulls*
9,54,28,.659,3.0,107.7,101.3,6.30,1993,Cleveland Cavaliers*
10,44,38,.537,13.0,110.1,110.4,-0.02,1993,Charlotte Hornets*
11,43,39,.524,14.0,107.5,108.4,-0.67,1993,Atlanta Hawks*
12,41,41,.500,16.0,107.8,106.1,1.77,1993,Indiana Pacers*
13,40,42,.488,17.0,100.6,102.0,-1.10,1993,Detroit Pistons
14,28,54,.341,29.0,102.3,106.1,-3.26,1993,Milwaukee Bucks
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1993,Midwest Division
1,55,27,.671,—,104.0,99.8,3.57,1993,Houston Rockets*
2,49,33,.598,6.0,105.5,102.8,2.21,1993,San Antonio Spurs*
3,47,35,.573,8.0,106.2,104.0,1.74,1993,Utah Jazz*
4,36,46,.439,19.0,105.2,106.9,-2.14,1993,Denver Nuggets
5,19,63,.232,36.0,98.1,105.9,-7.62,1993,Minnesota Timberwolves
6,11,71,.134,44.0,99.3,114.5,-14.68,1993,Dallas Mavericks
7,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Pacific Division
8,62,20,.756,—,113.4,106.7,6.27,1993,Phoenix Suns*
9,55,27,.671,7.0,108.3,101.3,6.66,1993,Seattle SuperSonics*
10,51,31,.622,11.0,108.5,105.4,2.92,1993,Portland Trail Blazers*
11,41,41,.500,21.0,107.1,106.8,0.33,1993,Los Angeles Clippers*
12,39,43,.476,23.0,104.2,105.5,-1.20,1993,Los Angeles Lakers*
13,34,48,.415,28.0,109.9,110.9,-0.94,1993,Golden State Warriors
14,25,57,.305,37.0,107.9,111.1,-3.00,1993,Sacramento Kings
0,57,25,.695,—,98.5,91.5,6.48,1994,New York Knicks*
1,50,32,.610,7.0,105.7,101.8,3.68,1994,Orlando Magic*
2,45,37,.549,12.0,103.2,101.0,2.11,1994,New Jersey Nets*
3,42,40,.512,15.0,103.4,100.7,2.40,1994,Miami Heat*
4,32,50,.390,25.0,100.8,105.1,-4.28,1994,Boston Celtics
5,25,57,.305,32.0,98.0,105.6,-7.37,1994,Philadelphia 76ers
6,24,58,.293,33.0,100.4,107.7,-7.13,1994,Washington Bullets
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1994,Central Division
8,57,25,.695,—,101.4,96.2,4.94,1994,Atlanta Hawks*
9,55,27,.671,2.0,98.0,94.9,2.87,1994,Chicago Bulls*
10,47,35,.573,10.0,101.0,97.5,3.26,1994,Indiana Pacers*
11,47,35,.573,10.0,101.2,97.1,3.64,1994,Cleveland Cavaliers*
12,41,41,.500,16.0,106.5,106.7,-0.23,1994,Charlotte Hornets
13,20,62,.244,37.0,96.9,103.4,-6.24,1994,Milwaukee Bucks
14,20,62,.244,37.0,96.9,104.7,-7.46,1994,Detroit Pistons
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1994,Midwest Division
1,58,24,.707,—,101.1,96.8,4.19,1994,Houston Rockets*
2,55,27,.671,3.0,100.0,94.8,5.05,1994,San Antonio Spurs*
3,53,29,.646,5.0,101.9,97.7,4.10,1994,Utah Jazz*
4,42,40,.512,16.0,100.3,98.8,1.54,1994,Denver Nuggets*
5,20,62,.244,38.0,96.7,103.6,-6.55,1994,Minnesota Timberwolves
6,13,69,.159,45.0,95.1,103.8,-8.19,1994,Dallas Mavericks
7,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1994,Pacific Division
8,63,19,.768,—,105.9,96.9,8.68,1994,Seattle SuperSonics*
9,56,26,.683,7.0,108.2,103.4,4.68,1994,Phoenix Suns*
10,50,32,.610,13.0,107.9,106.1,1.76,1994,Golden State Warriors*
11,47,35,.573,16.0,107.3,104.6,2.60,1994,Portland Trail Blazers*
12,33,49,.402,30.0,100.4,104.7,-3.93,1994,Los Angeles Lakers
13,28,54,.341,35.0,101.1,106.9,-5.32,1994,Sacramento Kings
14,27,55,.329,36.0,103.0,108.7,-5.28,1994,Los Angeles Clippers
0,57,25,.695,—,110.9,103.8,6.44,1995,Orlando Magic*
1,55,27,.671,2.0,98.2,95.1,2.78,1995,New York Knicks*
2,35,47,.427,22.0,102.8,104.7,-1.92,1995,Boston Celtics*
3,32,50,.390,25.0,101.1,102.8,-1.85,1995,Miami Heat
4,30,52,.366,27.0,98.1,101.2,-3.28,1995,New Jersey Nets
5,24,58,.293,33.0,95.4,100.4,-5.06,1995,Philadelphia 76ers
6,21,61,.256,36.0,100.5,106.1,-5.56,1995,Washington Bullets
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1995,Central Division
8,52,30,.634,—,99.2,95.5,3.35,1995,Indiana Pacers*
9,50,32,.610,2.0,100.6,97.3,2.87,1995,Charlotte Hornets*
10,47,35,.573,5.0,101.5,96.7,4.32,1995,Chicago Bulls*
11,43,39,.524,9.0,90.5,89.8,0.55,1995,Cleveland Cavaliers*
12,42,40,.512,10.0,96.6,95.3,1.06,1995,Atlanta Hawks*
13,34,48,.415,18.0,99.3,103.7,-4.30,1995,Milwaukee Bucks
14,28,54,.341,24.0,98.2,105.5,-7.08,1995,Detroit Pistons
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1995,Midwest Division
1,62,20,.756,—,106.6,100.6,5.90,1995,San Antonio Spurs*
2,60,22,.732,2.0,106.4,98.4,7.76,1995,Utah Jazz*
3,47,35,.573,15.0,103.5,101.4,2.32,1995,Houston Rockets*
4,41,41,.500,21.0,101.3,100.5,0.96,1995,Denver Nuggets*
5,36,46,.439,26.0,103.2,106.1,-2.39,1995,Dallas Mavericks
6,21,61,.256,41.0,94.2,103.2,-8.22,1995,Minnesota Timberwolves
7,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1995,Pacific Division
8,59,23,.720,—,110.6,106.8,3.86,1995,Phoenix Suns*
9,57,25,.695,2.0,110.4,102.2,7.91,1995,Seattle SuperSonics*
10,48,34,.585,11.0,105.1,105.3,-0.01,1995,Los Angeles Lakers*
11,44,38,.537,15.0,103.1,99.2,3.80,1995,Portland Trail Blazers*
12,39,43,.476,20.0,98.2,99.2,-0.74,1995,Sacramento Kings
13,26,56,.317,33.0,105.7,111.1,-4.90,1995,Golden State Warriors
14,17,65,.207,42.0,96.7,105.8,-8.43,1995,Los Angeles Clippers
0,60,22,.732,—,104.5,99.0,5.40,1996,Orlando Magic*
1,47,35,.573,13.0,97.2,94.9,2.24,1996,New York Knicks*
2,42,40,.512,18.0,96.5,95.0,1.46,1996,Miami Heat*
3,39,43,.476,21.0,102.5,101.5,0.99,1996,Washington Bullets
4,33,49,.402,27.0,103.6,107.0,-3.37,1996,Boston Celtics
5,30,52,.366,30.0,93.7,97.9,-4.14,1996,New Jersey Nets
6,18,64,.220,42.0,94.5,104.5,-9.45,1996,Philadelphia 76ers
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1996,Central Division
8,72,10,.878,—,105.2,92.9,11.80,1996,Chicago Bulls*
9,52,30,.634,20.0,99.3,96.1,3.11,1996,Indiana Pacers*
10,47,35,.573,25.0,91.1,88.5,2.49,1996,Cleveland Cavaliers*
11,46,36,.561,26.0,98.3,97.1,1.29,1996,Atlanta Hawks*
12,46,36,.561,26.0,95.4,92.9,2.45,1996,Detroit Pistons*
13,41,41,.500,31.0,102.8,103.4,-0.48,1996,Charlotte Hornets
14,25,57,.305,47.0,95.6,100.9,-4.92,1996,Milwaukee Bucks
15,21,61,.256,51.0,97.5,105.0,-7.20,1996,Toronto Raptors
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1996,Midwest Division
1,59,23,.720,—,103.4,97.1,5.98,1996,San Antonio Spurs*
2,55,27,.671,4.0,102.5,95.9,6.25,1996,Utah Jazz*
3,48,34,.585,11.0,102.5,100.7,1.63,1996,Houston Rockets*
4,35,47,.427,24.0,97.7,100.4,-2.62,1996,Denver Nuggets
5,26,56,.317,33.0,97.9,103.2,-5.14,1996,Minnesota Timberwolves
6,26,56,.317,33.0,102.5,107.5,-4.71,1996,Dallas Mavericks
7,15,67,.183,44.0,89.8,99.8,-9.55,1996,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1996,Pacific Division
9,64,18,.780,—,104.5,96.7,7.40,1996,Seattle SuperSonics*
10,53,29,.646,11.0,102.9,98.5,4.21,1996,Los Angeles Lakers*
11,44,38,.537,20.0,99.3,97.0,2.21,1996,Portland Trail Blazers*
12,41,41,.500,23.0,104.3,104.0,0.28,1996,Phoenix Suns*
13,39,43,.476,25.0,99.5,102.3,-2.62,1996,Sacramento Kings*
14,36,46,.439,28.0,101.6,103.1,-1.42,1996,Golden State Warriors
15,29,53,.354,35.0,99.4,103.0,-3.46,1996,Los Angeles Clippers
0,61,21,.744,—,94.8,89.3,5.56,1997,Miami Heat*
1,57,25,.695,4.0,95.4,92.2,3.31,1997,New York Knicks*
2,45,37,.549,16.0,94.1,94.5,-0.07,1997,Orlando Magic*
3,44,38,.537,17.0,99.4,97.7,1.77,1997,Washington Bullets*
4,26,56,.317,35.0,97.2,101.8,-3.89,1997,New Jersey Nets
5,22,60,.268,39.0,100.2,106.7,-5.89,1997,Philadelphia 76ers
6,15,67,.183,46.0,100.6,107.9,-6.62,1997,Boston Celtics
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1997,Central Division
8,69,13,.841,—,103.1,92.3,10.70,1997,Chicago Bulls*
9,56,26,.683,13.0,94.8,89.4,5.52,1997,Atlanta Hawks*
10,54,28,.659,15.0,94.2,88.9,5.45,1997,Detroit Pistons*
11,54,28,.659,15.0,98.9,97.0,2.13,1997,Charlotte Hornets*
12,42,40,.512,27.0,87.5,85.6,2.32,1997,Cleveland Cavaliers
13,39,43,.476,30.0,95.4,94.4,1.49,1997,Indiana Pacers
14,33,49,.402,36.0,95.3,97.2,-1.38,1997,Milwaukee Bucks
15,30,52,.366,39.0,95.5,98.6,-2.56,1997,Toronto Raptors
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1997,Midwest Division
1,64,18,.780,—,103.1,94.3,7.97,1997,Utah Jazz*
2,57,25,.695,7.0,100.6,96.1,3.85,1997,Houston Rockets*
3,40,42,.488,24.0,96.1,97.6,-1.82,1997,Minnesota Timberwolves*
4,24,58,.293,40.0,90.6,97.0,-6.47,1997,Dallas Mavericks
5,21,61,.256,43.0,97.8,104.1,-6.40,1997,Denver Nuggets
6,20,62,.244,44.0,90.5,98.3,-7.93,1997,San Antonio Spurs
7,14,68,.171,50.0,89.2,99.4,-10.17,1997,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1997,Pacific Division
9,57,25,.695,—,100.9,93.2,6.91,1997,Seattle SuperSonics*
10,56,26,.683,1.0,100.0,95.7,3.66,1997,Los Angeles Lakers*
11,49,33,.598,8.0,99.0,94.8,3.56,1997,Portland Trail Blazers*
12,40,42,.488,17.0,102.8,102.2,0.21,1997,Phoenix Suns*
13,36,46,.439,21.0,97.2,99.5,-2.66,1997,Los Angeles Clippers*
14,34,48,.415,23.0,96.4,99.8,-3.64,1997,Sacramento Kings
15,30,52,.366,27.0,99.6,104.4,-4.90,1997,Golden State Warriors
0,55,27,.671,—,95.0,90.0,5.09,1998,Miami Heat*
1,43,39,.524,12.0,91.6,89.1,2.74,1998,New York Knicks*
2,43,39,.524,12.0,99.6,98.1,1.88,1998,New Jersey Nets*
3,42,40,.512,13.0,97.2,96.6,1.11,1998,Washington Wizards
4,41,41,.500,14.0,90.1,91.2,-0.53,1998,Orlando Magic
5,36,46,.439,19.0,95.9,98.5,-1.96,1998,Boston Celtics
6,31,51,.378,24.0,93.3,95.7,-1.89,1998,Philadelphia 76ers
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1998,Central Division
8,62,20,.756,—,96.7,89.6,7.24,1998,Chicago Bulls*
9,58,24,.707,4.0,96.0,89.9,6.25,1998,Indiana Pacers*
10,51,31,.622,11.0,96.6,94.6,2.45,1998,Charlotte Hornets*
11,50,32,.610,12.0,95.9,92.3,3.85,1998,Atlanta Hawks*
12,47,35,.573,15.0,92.5,89.8,3.06,1998,Cleveland Cavaliers*
13,37,45,.451,25.0,94.2,92.6,1.95,1998,Detroit Pistons
14,36,46,.439,26.0,94.5,96.4,-1.33,1998,Milwaukee Bucks
15,16,66,.195,46.0,94.9,104.2,-8.33,1998,Toronto Raptors
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1998,Midwest Division
1,62,20,.756,—,101.0,94.4,5.73,1998,Utah Jazz*
2,56,26,.683,6.0,92.5,88.5,3.30,1998,San Antonio Spurs*
3,45,37,.549,17.0,101.1,100.4,0.17,1998,Minnesota Timberwolves*
4,41,41,.500,21.0,98.8,99.5,-1.23,1998,Houston Rockets*
5,20,62,.244,42.0,91.4,97.5,-6.33,1998,Dallas Mavericks
6,19,63,.232,43.0,96.6,103.9,-7.47,1998,Vancouver Grizzlies
7,11,71,.134,51.0,89.0,100.8,-11.74,1998,Denver Nuggets
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1998,Pacific Division
9,61,21,.744,—,100.6,93.4,6.33,1998,Seattle SuperSonics*
10,61,21,.744,—,105.5,97.8,6.88,1998,Los Angeles Lakers*
11,56,26,.683,5.0,99.6,94.4,4.44,1998,Phoenix Suns*
12,46,36,.561,15.0,94.3,92.9,0.83,1998,Portland Trail Blazers*
13,27,55,.329,34.0,93.1,98.7,-5.83,1998,Sacramento Kings
14,19,63,.232,42.0,88.3,97.4,-9.20,1998,Golden State Warriors
15,17,65,.207,44.0,95.9,103.3,-7.53,1998,Los Angeles Clippers
0,33,17,.660,—,89.0,84.0,5.11,1999,Miami Heat*
1,33,17,.660,—,89.5,86.9,3.11,1999,Orlando Magic*
2,28,22,.560,5.0,89.7,87.6,2.56,1999,Philadelphia 76ers*
3,27,23,.540,6.0,86.4,85.4,1.45,1999,New York Knicks*
4,19,31,.380,14.0,93.0,94.9,-1.75,1999,Boston Celtics
5,18,32,.360,15.0,91.2,93.4,-1.75,1999,Washington Wizards
6,16,34,.320,17.0,91.4,95.2,-3.20,1999,New Jersey Nets
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1999,Central Division
8,33,17,.660,—,94.7,90.9,3.86,1999,Indiana Pacers*
9,31,19,.620,2.0,86.3,83.4,2.82,1999,Atlanta Hawks*
10,29,21,.580,4.0,90.4,86.9,3.97,1999,Detroit Pistons*
11,28,22,.560,5.0,91.7,90.0,1.66,1999,Milwaukee Bucks*
12,26,24,.520,7.0,92.9,93.0,0.63,1999,Charlotte Hornets
13,23,27,.460,10.0,91.1,92.8,-1.32,1999,Toronto Raptors
14,22,28,.440,11.0,86.4,88.2,-0.94,1999,Cleveland Cavaliers
15,13,37,.260,20.0,81.9,91.4,-8.58,1999,Chicago Bulls
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1999,Midwest Division
1,37,13,.740,—,92.8,84.7,7.12,1999,San Antonio Spurs*
2,37,13,.740,—,93.3,86.8,5.54,1999,Utah Jazz*
3,31,19,.620,6.0,94.2,91.9,1.39,1999,Houston Rockets*
4,25,25,.500,12.0,92.9,92.6,-0.17,1999,Minnesota Timberwolves*
5,19,31,.380,18.0,91.6,94.0,-2.50,1999,Dallas Mavericks
6,14,36,.280,23.0,93.5,100.1,-6.67,1999,Denver Nuggets
7,8,42,.160,29.0,88.9,97.5,-8.94,1999,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1999,Pacific Division
9,35,15,.700,—,94.8,88.5,5.67,1999,Portland Trail Blazers*
10,31,19,.620,4.0,99.0,96.0,2.68,1999,Los Angeles Lakers*
11,27,23,.540,8.0,95.6,93.3,2.15,1999,Phoenix Suns*
12,27,23,.540,8.0,100.2,100.6,-0.89,1999,Sacramento Kings*
13,25,25,.500,10.0,94.9,95.9,-1.43,1999,Seattle SuperSonics
14,21,29,.420,14.0,88.3,90.8,-2.63,1999,Golden State Warriors
15,9,41,.180,26.0,90.4,99.2,-8.94,1999,Los Angeles Clippers
0,52,30,.634,—,94.4,91.3,2.75,2000,Miami Heat*
1,50,32,.610,2.0,92.1,90.7,1.30,2000,New York Knicks*
2,49,33,.598,3.0,94.8,93.4,1.02,2000,Philadelphia 76ers*
3,41,41,.500,11.0,100.1,99.4,0.43,2000,Orlando Magic
4,35,47,.427,17.0,99.3,100.1,-1.00,2000,Boston Celtics
5,31,51,.378,21.0,98.0,99.0,-1.18,2000,New Jersey Nets
6,29,53,.354,23.0,96.6,99.9,-3.47,2000,Washington Wizards
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2000,Central Division
8,56,26,.683,—,101.3,96.7,4.15,2000,Indiana Pacers*
9,49,33,.598,7.0,98.4,95.8,2.33,2000,Charlotte Hornets*
10,45,37,.549,11.0,97.2,97.3,-0.46,2000,Toronto Raptors*
11,42,40,.512,14.0,103.5,102.0,1.13,2000,Detroit Pistons*
12,42,40,.512,14.0,101.2,101.0,-0.06,2000,Milwaukee Bucks*
13,32,50,.390,24.0,97.0,100.5,-3.64,2000,Cleveland Cavaliers
14,28,54,.341,28.0,94.3,99.7,-5.41,2000,Atlanta Hawks
15,17,65,.207,39.0,84.8,94.2,-9.23,2000,Chicago Bulls
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2000,Midwest Division
1,55,27,.671,—,96.5,92.0,4.52,2000,Utah Jazz*
2,53,29,.646,2.0,96.2,90.2,5.92,2000,San Antonio Spurs*
3,50,32,.610,5.0,98.5,96.0,2.67,2000,Minnesota Timberwolves*
4,40,42,.488,15.0,101.4,102.0,-0.29,2000,Dallas Mavericks
5,35,47,.427,20.0,99.0,101.1,-1.76,2000,Denver Nuggets
6,34,48,.415,21.0,99.5,100.3,-0.57,2000,Houston Rockets
7,22,60,.268,33.0,93.9,99.5,-5.10,2000,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2000,Pacific Division
9,67,15,.817,—,100.8,92.3,8.41,2000,Los Angeles Lakers*
10,59,23,.720,8.0,97.5,91.0,6.36,2000,Portland Trail Blazers*
11,53,29,.646,14.0,98.9,93.7,5.24,2000,Phoenix Suns*
12,45,37,.549,22.0,99.1,98.1,1.17,2000,Seattle SuperSonics*
13,44,38,.537,23.0,105.0,102.0,3.04,2000,Sacramento Kings*
14,19,63,.232,48.0,95.5,103.8,-7.63,2000,Golden State Warriors
15,15,67,.183,52.0,92.0,103.5,-10.73,2000,Los Angeles Clippers
0,56,26,.683,—,94.7,90.4,3.64,2001,Philadelphia 76ers*
1,50,32,.610,6.0,88.9,86.6,1.73,2001,Miami Heat*
2,48,34,.585,8.0,88.7,86.1,1.98,2001,New York Knicks*
3,43,39,.524,13.0,97.5,96.5,0.39,2001,Orlando Magic*
4,36,46,.439,20.0,94.6,96.8,-2.40,2001,Boston Celtics
5,26,56,.317,30.0,92.1,97.1,-5.30,2001,New Jersey Nets
6,19,63,.232,37.0,93.2,99.9,-6.75,2001,Washington Wizards
7,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2001,Central Division
8,52,30,.634,—,100.7,96.9,3.14,2001,Milwaukee Bucks*
9,47,35,.573,5.0,97.6,95.4,1.69,2001,Toronto Raptors*
10,46,36,.561,6.0,91.9,89.8,1.45,2001,Charlotte Hornets*
11,41,41,.500,11.0,92.6,92.8,-0.77,2001,Indiana Pacers*
12,32,50,.390,20.0,95.6,97.3,-2.08,2001,Detroit Pistons
13,30,52,.366,22.0,92.2,96.5,-4.48,2001,Cleveland Cavaliers
14,25,57,.305,27.0,91.0,96.2,-5.55,2001,Atlanta Hawks
15,15,67,.183,37.0,87.6,96.7,-9.09,2001,Chicago Bulls
0,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2001,Midwest Division
1,58,24,.707,—,96.2,88.4,7.92,2001,San Antonio Spurs*
2,53,29,.646,5.0,97.1,92.4,5.00,2001,Utah Jazz*
3,53,29,.646,5.0,100.5,96.2,4.61,2001,Dallas Mavericks*
4,47,35,.573,11.0,97.3,96.0,1.81,2001,Minnesota Timberwolves*
5,45,37,.549,13.0,97.2,94.9,2.71,2001,Houston Rockets
6,40,42,.488,18.0,96.6,99.0,-1.83,2001,Denver Nuggets
7,23,59,.280,35.0,91.7,97.5,-4.94,2001,Vancouver Grizzlies
8,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2001,Pacific Division
9,56,26,.683,—,100.6,97.2,3.74,2001,Los Angeles Lakers*
10,55,27,.671,1.0,101.7,95.9,6.07,2001,Sacramento Kings*
11,51,31,.622,5.0,94.0,91.8,2.63,2001,Phoenix Suns*
12,50,32,.610,6.0,95.4,91.2,4.52,2001,Portland Trail Blazers*
13,44,38,.537,12.0,97.3,97.3,0.55,2001,Seattle SuperSonics
14,31,51,.378,25.0,92.5,95.3,-2.23,2001,Los Angeles Clippers
15,17,65,.207,39.0,92.5,101.5,-8.11,2001,Golden State Warriors
0,52,30,.634,—,96.2,92.0,3.67,2002,New Jersey Nets*
1,49,33,.598,3.0,96.4,94.1,1.75,2002,Boston Celtics*
2,44,38,.537,8.0,100.5,98.9,1.25,2002,Orlando Magic*
3,43,39,.524,9.0,91.0,89.4,1.27,2002,Philadelphia 76ers*
4,37,45,.451,15.0,92.8,94.2,-1.58,2002,Washington Wizards
5,36,46,.439,16.0,87.2,88.7,-1.84,2002,Miami Heat
6,30,52,.366,22.0,91.6,95.6,-4.15,2002,New York Knicks
